Basin.Name,Country,Ecoregion,Med_Longit,Med_Latit,RBA,MAT,TS,GDP,CSI,NSR,PRD,SRD,Similarity_Centroid
Aa,France,Palearctic,2.049219724,50.78136488,1200.364626,10.23535192,489.0897052,23.86764908,99.38421395,22,0.19,0.631578947,0.921084036
Abukuma,Japan,Palearctic,140.4631208,37.61083179,5362.643425,10.68777482,848.2278009,50.16905022,97.17836778,6,0.28,0.5,0.752158874
Aceh,Indonesia,Indo-Malay,95.56732362,5.318811898,1603.968673,25.06691933,49.76832722,2.092018545,99.72502537,14,0.32,0.625,0.683446939
Acheloos,Greece,Palearctic,21.48447586,38.99904113,5821.728156,12.09962599,658.0536681,6.078314781,87.98760143,20,0.39,0.794871795,0.808747381
Acisu,Turkey,Palearctic,31.06264501,36.96701519,297.3496756,17.79621733,704.7491344,3.345977008,99.40823574,7,0.53,0.641509434,0.495053082
Aconcagua,Chile,Neotropic,-70.65645485,-32.77064478,7318.876825,8.534749744,397.0020272,7.234971046,99.50628836,16,0.44,0.477272727,0.783034405
Adako.un,Japan,Palearctic,136.8981253,34.39478287,11.68668062,15.7569444,729.7255737,62.14790344,NA,8,0.27,0.37037037,0.584917518
Adige,Italy,Palearctic,11.33185941,46.2339395,14631.20888,6.361121801,679.3131537,34.47934532,95.58265694,18,0.33,0.848484848,0.788545992
Adour,France,Palearctic,-0.506598208,43.42946996,16911.16103,12.05183704,505.1351236,12.87720895,99.29387026,24,0.25,0.56,0.880254026
Agano,Japan,Palearctic,139.6150537,37.44530404,7805.6875,9.052657637,918.9299151,38.95591831,95.3794178,15,0.28,0.75,0.807938662
Agly,France,Palearctic,2.606691822,42.81292317,1125.200682,12.7286707,566.2799197,13.23371863,92.69265933,17,0.33,0.333333333,0.898067837
Agri,Italy,Palearctic,16.11443895,40.30474355,1793.905904,12.94598116,624.422633,11.80696368,90.35566437,7,0.37,0.567567568,0.856904186
Aguanaval,Mexico,Nearctic,-102.8729234,24.50174289,32876.21725,18.31110933,383.3844797,2.332078218,97.75463639,6,0.64,0.1875,0.61683375
Akitio,New Zealand,Australasia,176.3076561,-40.45467037,584.3439741,12.41095559,344.2829724,0.408047549,99.85053394,9,0.86,0.069767442,0.704740798
Aksu,Turkey,Palearctic,30.8507144,37.78976701,7738.137846,11.75944628,759.3909966,3.885437667,94.86416568,36,0.34,0.558823529,0.919083019
Aksu.North,Turkey,Palearctic,38.38597013,40.64078625,900.7624843,8.060288264,705.3529467,2.40201658,99.87743341,34,0.39,0.846153846,0.765156807
Alabama,United States,Nearctic,-86.9483201,33.21408079,111854.611,16.61429588,743.4736011,12.26869059,96.64959766,221,0.17,0.882352941,0.757793144
Alafia,United States,Nearctic,-82.10645604,27.86256228,1128.481426,22.40795426,453.4382295,52.89338207,78.55952977,44,0.22,0.727272727,0.790059833
