Basin.Name,Native.Exotic.Status,Equilibrium,Opportunistic,Periodic,Country,Ecoregion,Median.Longitude,Median.Latitude,RBA,MAT,TS,MAP,PS,GDP,DOF,CSI,NSR,DIS,DISmn,DISmx,RAD,NNSR
Aa,Native,0.140546009,0.129222708,0.730231283,France,Palearctic,2.049219724,50.78136488,1200.364626,10.23535192,489.0897052,665.3912249,19.9000927,23.86764908,0,99.38421395,22,5.445716168,1.875562018,9.62550249,0.673845,7
Aa,Non-native,0.097016273,0.098774285,0.804209442,France,Palearctic,2.049219724,50.78136488,1200.364626,10.23535192,489.0897052,665.3912249,19.9000927,23.86764908,0,99.38421395,22,5.445716168,1.875562018,9.62550249,0.673845,7
Abant.lake,Native,0.413367424,0,0.586632576,Turkey,Palearctic,31.28030722,40.60649392,1.975470083,7.675000032,684.9399821,588.3333333,34.41541036,7.645078301,NA,NA,1,2.079,0.642,4.396,0.745137,0
Abashiri,Native,0.068083363,0.117872697,0.81404394,Japan,Palearctic,144.0741545,43.70735402,1387.665409,5.264461776,1021.975197,1065.632406,31.74070347,7.461684108,0,99.84752637,3,7.897678469,3.297231084,16.45892986,0.666207,0
Abhe.Bad,Native,0.266563369,0.25080417,0.482632461,Ethiopia,Afrotropic,40.59740531,10.15982422,103626.8451,23.42516523,230.0987145,588.5813683,82.05535732,0.583349124,3.478468347,97.76842261,11,10.27531879,1.713700602,38.74657167,0.91529,0
Abogain.Gol,Native,0.144777282,0.323818637,0.531404081,China,Palearctic,112.583602,41.98166133,9993.350371,3.838287118,1279.570061,250.9220189,109.836164,0.534983069,0,97.98512154,6,0.100469274,0.032237637,0.307208909,0.810058,0
Abu.gawa,Native,0.190864576,0.322739388,0.486396036,Japan,Palearctic,131.5542186,34.36145766,641.2013757,13.451096,799.1237869,1924.965594,51.29444417,25.28127003,17.34811669,92.66682131,8,12.58857501,6.319227169,22.10860255,0.55542,0
Abukuma,Native,0.093220415,0.184826651,0.721952935,Japan,Palearctic,140.4631208,37.61083179,5362.643425,10.68777482,848.2278009,1263.899036,46.55750343,50.16905022,4.660365088,97.17836778,6,26.37843615,13.23759701,39.08123399,0.493964,1
Abukuma,Non-native,0.241587618,0.329374108,0.429038274,Japan,Palearctic,140.4631208,37.61083179,5362.643425,10.68777482,848.2278009,1263.899036,46.55750343,50.16905022,4.660365088,97.17836778,6,26.37843615,13.23759701,39.08123399,0.493964,1
Abula,Native,0.16252561,0.150573056,0.686901333,Estonia,Palearctic,22.16684369,58.42591262,17.51000425,6.588541687,724.6812943,607.925,31.46893892,0.354752928,0,99.96665,5,4.018248319,1.670863658,9.78482807,0.708291,0
Acaponeta,Native,0.245919234,0.331561076,0.422519689,Mexico,Neotropic,-105.236757,23.19464233,5511.705653,18.81869992,288.1016507,1094.275823,105.7991657,1.441855758,0,99.91433385,16,14.65527068,1.065346444,43.79842232,0.952507,0
Aceh,Native,0.070783005,0.312137474,0.617079521,Indonesia,Indo-Malay,95.56732362,5.318811898,1603.968673,25.06691933,49.76832722,2421.088298,28.49291382,2.092018545,0,99.72502537,14,6.81828816,2.46565672,14.86375663,0.715437,2
Aceh,Non-native,0.010122586,0,0.989877414,Indonesia,Indo-Malay,95.56732362,5.318811898,1603.968673,25.06691933,49.76832722,2421.088298,28.49291382,2.092018545,0,99.72502537,14,6.81828816,2.46565672,14.86375663,0.715437,2
Acheloos,Native,0.192417246,0.244158507,0.563424247,Greece,Palearctic,21.48447586,38.99904113,5821.728156,12.09962599,658.0536681,861.5864955,51.0812005,6.078314781,15.50551801,87.98760143,20,17.34124447,2.863575201,38.10436056,0.860204,18
Acheloos,Non-native,0.169944776,0.07775359,0.752301634,Greece,Palearctic,21.48447586,38.99904113,5821.728156,12.09962599,658.0536681,861.5864955,51.0812005,6.078314781,15.50551801,87.98760143,20,17.34124447,2.863575201,38.10436056,0.860204,18
Acisu,Native,0.043974074,0.120369593,0.835656333,Turkey,Palearctic,31.06264501,36.96701519,297.3496756,17.79621733,704.7491344,834.140553,82.7780317,3.345977008,0,99.40823574,7,2.639939744,0.186955822,7.298577612,0.950049,1
Acisu,Non-native,0.700202944,0.242778305,0.057018752,Turkey,Palearctic,31.06264501,36.96701519,297.3496756,17.79621733,704.7491344,834.140553,82.7780317,3.345977008,0,99.40823574,7,2.639939744,0.186955822,7.298577612,0.950049,1
Aconcagua,Native,0.109770982,0.373941524,0.516287494,Chile,Neotropic,-70.65645485,-32.77064478,7318.876825,8.534749744,397.0020272,352.2703342,99.07996754,7.234971046,0,99.50628836,20,4.983394987,0.513450352,11.81054909,0.916675,6
Aconcagua,Non-native,0.270514573,0.147592229,0.581893198,Chile,Neotropic,-70.65645485,-32.77064478,7318.876825,8.534749744,397.0020272,352.2703342,99.07996754,7.234971046,0,99.50628836,20,4.983394987,0.513450352,11.81054909,0.916675,6
Actopan,Native,0.339931633,0.290957153,0.369111214,Mexico,Neotropic,-96.72393808,19.54750154,1975.467334,20.97591835,216.30531,1321.950612,82.59123272,11.94144034,0,99.77543087,20,11.45288487,2.39801572,29.10842357,0.847776,0
Adako.un,Native,0.138752296,0.563838967,0.297408737,Japan,Palearctic,136.8981253,34.39478287,11.68668062,15.7569444,729.7255737,2130.266667,44.04574153,62.14790344,NA,NA,8,19.658,9.243,36.687,0.597518,1
Adako.un,Non-native,0.057090286,0.039433829,0.903475885,Japan,Palearctic,136.8981253,34.39478287,11.68668062,15.7569444,729.7255737,2130.266667,44.04574153,62.14790344,NA,NA,8,19.658,9.243,36.687,0.597518,1
Adana,Native,0.178843251,0.270391922,0.550764827,Yemen,Afrotropic,46.64939835,15.06272171,36991.59931,26.00981274,455.553174,123.3216208,71.64076313,0.949564219,0,99.67544358,3,0.048687072,0.003029555,2.019843319,0.997005,0
Adelaide,Native,0.143202345,0.313653765,0.54314389,Australia,Australasia,131.3092195,-13.00415543,7329.225899,27.28433176,197.869342,1386.81937,108.5859122,0.216620315,0.845879949,99.58736274,61,24.3427734,2.69872655,70.29094198,0.926052,0
